Celltype	New_Name
ACM_left_trabecular_1	ACM_left_highTNNI_1
ACM_left_trabecular_2	ACM_left_highTNNI_2
ACM_left_hybrid	ACM_left_hybrid
ACM_left_compact	ACM_left_lowTNNI
ACM_right_trabecular_1	ACM_right_highTNNI_1
ACM_right_trabecular_2	ACM_right_highTNNI_2
ACM_right_compact_1	ACM_right_lowTNNI_1
ACM_right_compact_2	ACM_right_lowTNNI_2
ACM_right_compact_3	ACM_right_lowTNNI_3
VCM_left_trabecular_1	VCM_left_trabecular_1
VCM_left_trabecular_2	VCM_left_trabecular_2
VCM_left_trabecular_3	VCM_left_trabecular_3
VCM_left_hybrid	VCM_left_hybrid
VCM_left_compact_1	VCM_left_compact_1
VCM_left_compact_2	VCM_left_compact_2
VCM_left_compact_3	VCM_left_compact_3
VCM_right_trabecular	VCM_right_trabecular
VCM_right_compact	VCM_right_compact
VCM_AV_valve	AV_valve_CM
SAN_head	Sinoatrial_node
AV_node	AV_node
AV_bundle	AV_bundle
PF_1	Purkinje_fibers_3
PF_2	Purkinje_fibers_2
PF_3	Purkinje_fibers_1
SAN_Tz	Sinoatrial_transition_cells
AV_Tz	AV_node_transitional_cells
AV_bundle_Tz	AV_bundle_transitional_cells
PF_Tz	Purkinje_fibers_transitional_cells_1
VCM_transition	VCM_conduction_transitional_cells
Endocardial_VentricularEC_1	Ventricular_endocardial_cells_1
Endocardial_VentricularEC_2	Ventricular_endocardial_cells_2
Endocardial_VentricularEC_3	Ventricular_endocardial_cells_3
Endocardial_AtrialEC	Atrial_endocardial_cells
Endocardial_AtrialSeptumEC_endocardial	Atrial_septum_endocardial_cells
Endocardial_IFT_VEC	IFT_valvular_endocardial_cells
Endocardial_to_endothelial	Endocardial_to_endothelial_transtition
Endocardial_OFT_VEC	OFT_valvular_endocardial_cells
Endocaridal_AorticEC_endothelial	Aortic_endothelial_cells_1
Endothelial_CapEC_endo	Capillary_endothelial_cells_2
Endothelial_CapEC_SV	Capillary_endothelial_cells_1
Endothelial_ArtEC_preArtery_2	Pre_arterial_endothelial_cells_1
Endothelial_ArtEC_preArtery_1	Pre_arterial_endothelial_cells_2
Endothelial_ArtEC_mature	Mature_arterial_endothelial
Endothelial_AorticEC_endothelial	Aortic_endothelial_cells_2
Endothelial_VeinEC	Venous_endothelial_cells
Endothelial_LymphaticEC	Lymphatic_endothelial_cells
CFB_progenitors	Cardiac_fibroblast_progenitors
CFB_mature	Mature_fibroblasts
CFB_atrium	Atrial_fibroblasts
CFB_DMP_1	DMP_1
CFB_DMP_2	DMP_2
CFB_DMP_3	DMP_3
CFB_OFT_1	OFT_1
CFB_OFT_2	OFT_2
CFB_OFT_3	OFT_3
VIC_free_segments_1	VIC_valve_free_segments_1
VIC_free_segments_2	VIC_valve_free_segments_2
VIC_free_segments_3	VIC_valve_free_segments_3
VIC_NC_derived_mescenchyme	VIC_derived_from_neural_crest
VIC_valve_roots	VIC_semilunar_valves
Pericytes_1	Pericytes_1
Pericytes_2	Pericytes_2
Pericytes_3	Pericytes_3
SMC_1	Smooth_muscle_cells_1
SMC_2	Smooth_muscle_cells_2
SMC_3	Smooth_muscle_cells_3
Epicardial_0	Epicardial_1
Epicardial_1	Epicardial_2
Epicardial_3	Epicardial_3
Epicardial_4	Epicardial_4
Epicardial_5	Epicardial_5
NC_progenitor	Neural_crest_derived_cells
SympatheticNeuron_nonadrenergic	Sympathetic_neuron
SympatheticNeuron	Parasympathetic_neuron
Immune_monocyte_1	Macrophages_1
Immune_monocyte_2	Macrophages_2
Macrophage	Macrophages_3
