Celltype	nFrag	scE2G	BPNet	NMF_label	Plot_label	HexColorCode	CellGroupingOrder	CelltypeOrder	Order	New_Name	CelltypeColor	CardiacCellType	ConsiderForCellTypeEnrichment	CellTypeEnrichmentGrouping	CellEnrichmentGroupingColor	ConsiderForVariantOverlapping	Include_in_UMAP_main	Include_in_UMAP_Supp
ACM_left_trabecular_1	43264374	TRUE	TRUE	ACM	ACM	#7ec0ee	1	1	1	ACM_left_highTNNI_1	#87CEEB	TRUE	TRUE	ACM	#FF8040	TRUE	TRUE	TRUE
ACM_left_trabecular_2	22769486	TRUE	TRUE	ACM	ACM	#7ec0ee	1	2	2	ACM_left_highTNNI_2	#000080	TRUE	TRUE	ACM	#FF8040	TRUE	TRUE	TRUE
ACM_left_hybrid	30217925	TRUE	TRUE	ACM	ACM	#7ec0ee	1	3	3	ACM_left_hybrid	#4169E1	TRUE	TRUE	ACM	#FF8040	TRUE	TRUE	TRUE
ACM_left_compact	24369138	TRUE	TRUE	ACM	ACM	#7ec0ee	1	4	4	ACM_left_lowTNNI	#00FF00	TRUE	TRUE	ACM	#FF8040	TRUE	TRUE	TRUE
ACM_right_trabecular_1	50833936	TRUE	TRUE	ACM	ACM	#7ec0ee	1	5	5	ACM_right_highTNNI_1	#228B22	TRUE	TRUE	ACM	#FF8040	TRUE	TRUE	TRUE
ACM_right_trabecular_2	18628587	TRUE	TRUE	ACM	ACM	#7ec0ee	1	6	6	ACM_right_highTNNI_2	#96DED1	TRUE	TRUE	ACM	#FF8040	TRUE	TRUE	TRUE
ACM_right_compact_1	28367920	TRUE	TRUE	ACM	ACM	#7ec0ee	1	7	7	ACM_right_lowTNNI_1	#DFB9EE	TRUE	TRUE	ACM	#FF8040	TRUE	TRUE	TRUE
ACM_right_compact_2	12908596	TRUE	TRUE	ACM	ACM	#7ec0ee	1	8	8	ACM_right_lowTNNI_2	#CA2C92	TRUE	TRUE	ACM	#FF8040	TRUE	TRUE	TRUE
ACM_right_compact_3	7584630	TRUE	TRUE	ACM	ACM	#7ec0ee	1	9	9	ACM_right_lowTNNI_3	#B666D2	TRUE	TRUE	ACM	#FF8040	TRUE	TRUE	TRUE
ACM_cellcycle	93559631	TRUE	FALSE	ACM	ACM	#7ec0ee	1	10	10	ACM_cell_cycling	#813695	TRUE	FALSE			FALSE	TRUE	TRUE
VCM_left_trabecular_1	227743892	TRUE	TRUE	VCM	VCM	#F0E68C	2	1	11	VCM_left_trabecular_1	#87CEEB	TRUE	TRUE	VCM	#0000FF	TRUE	TRUE	TRUE
VCM_left_trabecular_2	144276817	TRUE	TRUE	VCM	VCM	#F0E68C	2	2	12	VCM_left_trabecular_2	#000080	TRUE	TRUE	VCM	#0000FF	TRUE	TRUE	TRUE
VCM_left_trabecular_3	120407284	TRUE	TRUE	VCM	VCM	#F0E68C	2	3	13	VCM_left_trabecular_3	#4169E1	TRUE	TRUE	VCM	#0000FF	TRUE	TRUE	TRUE
VCM_left_hybrid	342133374	TRUE	TRUE	VCM	VCM	#F0E68C	2	4	14	VCM_left_hybrid	#00FF00	TRUE	TRUE	VCM	#0000FF	TRUE	TRUE	TRUE
VCM_left_compact_1	210929468	TRUE	TRUE	VCM	VCM	#F0E68C	2	5	15	VCM_left_compact_1	#228B22	TRUE	TRUE	VCM	#0000FF	TRUE	TRUE	TRUE
VCM_left_compact_2	232034640	TRUE	TRUE	VCM	VCM	#F0E68C	2	6	16	VCM_left_compact_2	#96DED1	TRUE	TRUE	VCM	#0000FF	TRUE	TRUE	TRUE
VCM_left_compact_3	216472884	TRUE	TRUE	VCM	VCM	#F0E68C	2	7	17	VCM_left_compact_3	#DFB9EE	TRUE	TRUE	VCM	#0000FF	TRUE	TRUE	TRUE
VCM_right_trabecular	77025062	TRUE	TRUE	VCM	VCM	#F0E68C	2	8	18	VCM_right_trabecular	#CA2C92	TRUE	TRUE	VCM	#0000FF	TRUE	TRUE	TRUE
VCM_right_compact	277153849	TRUE	TRUE	VCM	VCM	#F0E68C	2	9	19	VCM_right_compact	#FFA1D3	TRUE	TRUE	VCM	#0000FF	TRUE	TRUE	TRUE
VCM_AV_valve	7859450	TRUE	TRUE	VCM	VCM	#F0E68C	2	10	20	AV_valve_CM	#FFFF00	TRUE	TRUE	VCM	#0000FF	TRUE	TRUE	TRUE
VCM_cellcycle	489622869	TRUE	FALSE	VCM	VCM	#F0E68C	2	11	21	VCM_cell_cycling	#5A2A65	TRUE	FALSE			FALSE	TRUE	TRUE
SAN_head	4851308	TRUE	TRUE	CoreConductionCells	CoreConductionCells	#DA70D6	3	1	22	Sinoatrial_node	#87CEEB	TRUE	TRUE	ConductionCells	#006400	TRUE	TRUE	TRUE
AV_node	11577043	TRUE	TRUE	CoreConductionCells	CoreConductionCells	#DA70D6	3	2	23	AV_node	#000080	TRUE	TRUE	ConductionCells	#006400	TRUE	TRUE	TRUE
AV_bundle	4007874	TRUE	TRUE	CoreConductionCells	CoreConductionCells	#DA70D6	3	3	24	AV_bundle	#4169E1	TRUE	TRUE	ConductionCells	#006400	TRUE	TRUE	TRUE
PF_1	4481707	TRUE	TRUE	TzConductionCells	TzConductionCells	#7B68EE	4	4	30	Purkinje_fibers_3	#00FF00	TRUE	TRUE	TzConductionCells	#0000FF	TRUE	TRUE	TRUE
PF_2	9112170	TRUE	TRUE	CoreConductionCells	CoreConductionCells	#DA70D6	3	5	26	Purkinje_fibers_2	#228B22	TRUE	TRUE	ConductionCells	#006400	TRUE	TRUE	TRUE
PF_3	8212080	TRUE	TRUE	CoreConductionCells	CoreConductionCells	#DA70D6	3	6	25	Purkinje_fibers_1	#96DED1	TRUE	TRUE	TzConductionCells	#0000FF	TRUE	TRUE	TRUE
SAN_Tz	6840518	TRUE	TRUE	TzConductionCells	TzConductionCells	#7B68EE	4	1	27	Sinoatrial_transition_cells	#dccd10	TRUE	TRUE	ACM	#FF8040	TRUE	TRUE	TRUE
AV_Tz	21821166	TRUE	TRUE	TzConductionCells	TzConductionCells	#7B68EE	4	2	28	AV_node_transitional_cells	#FFFF00	TRUE	TRUE	VCM	#0000FF	TRUE	TRUE	TRUE
AV_bundle_Tz	26258642	TRUE	TRUE	TzConductionCells	TzConductionCells	#7B68EE	4	3	29	AV_bundle_transitional_cells	#A67202	TRUE	TRUE	VCM	#0000FF	TRUE	TRUE	TRUE
PF_Tz	5003719	TRUE	TRUE	TzConductionCells	TzConductionCells	#7B68EE	4	4	31	Purkinje_fibers_transitional_cells_1	#DFB9EE	TRUE	TRUE	VCM	#0000FF	TRUE	TRUE	TRUE
VCM_transition	248681741	TRUE	TRUE	TzConductionCells	TzConductionCells	#7B68EE	4	5	32	VCM_conduction_transitional_cells	#CA2C92	TRUE	TRUE	VCM	#0000FF	TRUE	TRUE	TRUE
SAN_cellcycle	1157428	FALSE	FALSE	TzConductionCells	TzConductionCells	#7B68EE	4	5	33	Sinoatrial_node_cell_cycling	#B666D2	TRUE	FALSE			FALSE	TRUE	TRUE
PF_cellcycle	909407	FALSE	FALSE	TzConductionCells	TzConductionCells	#7B68EE	4	6	34	Purkinje_fibers_cell_cycling	#813695	TRUE	FALSE			FALSE	TRUE	TRUE
Endocardial_VentricularEC_1	68605210	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	1	35	Ventricular_endocardial_cells_1	#87CEEB	TRUE	TRUE	Endocardial	#FFB3FC	TRUE	TRUE	TRUE
Endocardial_VentricularEC_2	38503449	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	2	36	Ventricular_endocardial_cells_2	#000080	TRUE	TRUE	Endocardial	#FFB3FC	TRUE	TRUE	TRUE
Endocardial_VentricularEC_3	60859627	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	3	37	Ventricular_endocardial_cells_3	#4169E1	TRUE	TRUE	Endocardial	#FFB3FC	TRUE	TRUE	TRUE
Endocardial_AtrialEC	19501055	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	4	38	Atrial_endocardial_cells	#00FF00	TRUE	TRUE	Endocardial	#FFB3FC	TRUE	TRUE	TRUE
Endocardial_AtrialSeptumEC_endocardial	6287045	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	5	39	Atrial_septum_endocardial_cells	#228B22	TRUE	TRUE	Endocardial	#FFB3FC	TRUE	TRUE	TRUE
Endocardial_IFT_VEC	24232006	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	6	40	IFT_valvular_endocardial_cells	#96DED1	TRUE	TRUE	Endocardial	#FFB3FC	TRUE	TRUE	TRUE
Endocardial_to_endothelial	5491716	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	6	42	Endocardial_to_endothelial_transtition	#813695	TRUE	TRUE	Endocardial	#FFB3FC	TRUE	TRUE	TRUE
Endocardial_OFT_VEC	32853377	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	7	41	OFT_valvular_endocardial_cells	#FFFF00	TRUE	TRUE	Endocardial	#FFB3FC	TRUE	TRUE	TRUE
Endocaridal_AorticEC_endothelial	7972253	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	9	49	Aortic_endothelial_cells_1	#A67202	TRUE	TRUE	Endothelial	#93E9BE	TRUE	TRUE	TRUE
Endocardial_cellcycle	20381250	TRUE	FALSE	Endocardial_endothelial	EndocardialCells	#00FF00	5	10	52	Endocardial_cell_cycling	#DFB9EE	TRUE	FALSE			FALSE	TRUE	TRUE
Endothelial_CapEC_endo	28701175	TRUE	TRUE	Endocardial_endothelial	EndothelialCells	#FF7F00	6	2	45	Capillary_endothelial_cells_2	#ff1493	TRUE	TRUE	Endothelial	#93E9BE	TRUE	TRUE	TRUE
Endothelial_CapEC_SV	22230918	TRUE	TRUE	Endocardial_endothelial	EndothelialCells	#FF7F00	6	1	44	Capillary_endothelial_cells_1	#00CED1	TRUE	TRUE	Endothelial	#93E9BE	TRUE	TRUE	TRUE
Endothelial_ArtEC_preArtery_2	8218072	TRUE	TRUE	Endocardial_endothelial	EndothelialCells	#FF7F00	6	3	46	Pre_arterial_endothelial_cells_1	#228B22	TRUE	TRUE	Endothelial	#93E9BE	TRUE	TRUE	TRUE
Endothelial_ArtEC_preArtery_1	9561743	TRUE	TRUE	Endocardial_endothelial	EndothelialCells	#FF7F00	6	4	47	Pre_arterial_endothelial_cells_2	#8B8B02	TRUE	TRUE	Endothelial	#93E9BE	TRUE	TRUE	TRUE
