Category	Disease	Celltype	in_Celltype_true_disease	in_Celltype_false_disease	not_in_Celltype_true_disease	not_in_Celltype_false_disease	odds_ratio	CI_lower	CI_upper	P_value	NumberOfTrueDiseaseGenes	recall	disease_genes_in_Celltype	minZscore	P_fdr	P_bonferroni
CHD	Atrial_septal_defect	ACM_left_hybrid	10	290	85	15373	6.23462035403549	3.24649395002726	Inf	1.30440030740958e-05	95	0.105	NSD1|TBX20|CDK13|GATA4|KAT6B|FGFR2|MYBPC3|TBX5|MYH6|NR2F2	1.00306683573505	0.00682201360775213	0.007
CHD	Atrial_septal_defect	ACM_right_lowTNNI_1	10	290	85	15373	6.23462035403549	3.24649395002726	Inf	1.30440030740958e-05	95	0.105	RERE|NSD1|TAB2|TBX20|CDK13|KAT6B|MYBPC3|TBX5|MYH6|KDM6A	1.00071543879657	0.00682201360775213	0.007
CHD	Atrial_septal_defect	Sinoatrial_node	9	291	86	15372	5.52672459362347	2.773295921947	Inf	8.16745344955331e-05	95	0.095	ACVR1|CDK13|BRAF|GATA4|TBX5|MYH6|GATA6|SMAD2|KDM6A	1.00260324575958	0.0408372672477665	0.045
CHD	Atrial_septal_defect	Sinoatrial_transition_cells	9	291	86	15372	5.52672459362347	2.773295921947	Inf	8.16745344955331e-05	95	0.095	CDK13|GATA4|KAT6B|TBX5|MYH6|NR2F2|GATA6|SMAD2|KDM6A	1.00504193649381	0.0408372672477665	0.045
CHD	Atrial_septal_defect	Ventricular_endocardial_cells_1	10	290	85	15373	6.23462035403549	3.24649395002726	Inf	1.30440030740958e-05	95	0.105	RERE|SOS1|ACVR1|BMPR2|FOXP1|NSD1|CDK13|GATA4|NF1|SMAD2	1.00308751320332	0.00682201360775213	0.007
CHD	Atrial_septal_defect	Atrial_septum_endocardial_cells	9	291	86	15372	5.52672459362347	2.773295921947	Inf	8.16745344955331e-05	95	0.095	PBX1|ACVR1|RAF1|FOXP1|GATA4|CHD7|NR2F2|KANSL1|GATA6	1.00268711533706	0.0408372672477665	0.045
CHD	Atrial_septal_defect	Capillary_endothelial_cells_2	12	288	83	15375	7.71621380724308	4.2547111727335	Inf	2.4300877336829e-07	95	0.126	RERE|SOS1|BMPR2|SETD5|TGFBR2|ARID1B|CDK13|BRAF|CHD7|ANKRD11|NF1|KANSL1	1.00097195743403	0.000131710755165613	0
CHD	Atrial_septal_defect	Pre_arterial_endothelial_cells_1	10	290	85	15373	6.23462035403549	3.24649395002726	Inf	1.30440030740958e-05	95	0.105	RERE|SOS1|SETD5|TGFBR2|CDK13|BRAF|CHD7|ANKRD11|NF1|KANSL1	1.00778924030739	0.00682201360775213	0.007
CHD	Atrial_septal_defect	Pre_arterial_endothelial_cells_2	10	290	85	15373	6.23462035403549	3.24649395002726	Inf	1.30440030740958e-05	95	0.105	SOS1|BMPR2|TGFBR2|ARID1B|CDK13|BRAF|KAT6A|CHD7|ANKRD11|KANSL1	1.00232380225385	0.00682201360775213	0.007
CHD	Atrial_septal_defect	Venous_endothelial_cells	9	291	86	15372	5.52672459362347	2.773295921947	Inf	8.16745344955331e-05	95	0.095	RERE|BMPR2|TGFBR2|FOXP1|BRAF|KAT6A|CHD7|NR2F2|SON	1.0059749000894	0.0408372672477665	0.045
