Category	Enrichment	Enrichment_std_error	Enrichment_p	Enrichment_p_fdr	Coefficient_z.score	finemapped_trait	n_LeadSNPs	Disease	NiceName	coarse_cluster
ACM_left_trabecular_1	19.1827085651582	3.73043480769739	8.62589792092374e-06	0.001	1.70294199161846	Nielsen_AFib	193	Nielsen_AFib	AtrialFibrillation_Nielsen	ACM
ACM_left_trabecular_2	20.2600889799831	4.43804333597563	5.01044246131236e-05	0.009	1.96832289163258	Nielsen_AFib	193	Nielsen_AFib	AtrialFibrillation_Nielsen	ACM
ACM_left_compact	18.1340462381762	4.17193395986755	8.20715532974707e-05	0.014	0.845455953623211	Nielsen_AFib	193	Nielsen_AFib	AtrialFibrillation_Nielsen	ACM
VCM_left_trabecular_2	15.0123516222597	3.00505875599081	4.40049955614994e-05	0.007	0.713071835467769	Nielsen_AFib	193	Nielsen_AFib	AtrialFibrillation_Nielsen	VCM
VCM_left_trabecular_3	14.7620297699733	2.6950207356506	5.09447755703291e-06	0.001	1.11984651180602	Nielsen_AFib	193	Nielsen_AFib	AtrialFibrillation_Nielsen	VCM
VCM_left_hybrid	15.5668002588826	3.55155844475791	0.000204965192457554	0.035	0.862405625133637	Nielsen_AFib	193	Nielsen_AFib	AtrialFibrillation_Nielsen	VCM
VCM_left_compact_2	13.4850856707464	2.87988115821283	0.000102259129621465	0.017	-0.556848792901778	Nielsen_AFib	193	Nielsen_AFib	AtrialFibrillation_Nielsen	VCM
VCM_left_compact_3	13.4967499993842	2.77536501813241	4.11599936094112e-05	0.007	-0.301343340400834	Nielsen_AFib	193	Nielsen_AFib	AtrialFibrillation_Nielsen	VCM
VCM_right_trabecular	13.9976203074006	2.87476107235447	6.47576891035058e-05	0.011	-0.337352220833087	Nielsen_AFib	193	Nielsen_AFib	AtrialFibrillation_Nielsen	VCM
VCM_AV_valve	19.5192124648883	4.74610838259868	0.000138297650083772	0.024	1.46025388206956	Nielsen_AFib	193	Nielsen_AFib	AtrialFibrillation_Nielsen	VCM
PF_3	21.3386018818354	4.97641881950315	0.000183868425232877	0.031	1.60133237607286	Nielsen_AFib	193	Nielsen_AFib	AtrialFibrillation_Nielsen	CoreConductionCells
SAN_Tz	16.8370790679734	3.55479392756407	6.08904796820493e-05	0.01	0.280208368504336	Nielsen_AFib	193	Nielsen_AFib	AtrialFibrillation_Nielsen	TzConductionCells
AV_Tz	16.2799438940845	3.8794939712822	0.000243862758428569	0.041	-0.198853470703388	Nielsen_AFib	193	Nielsen_AFib	AtrialFibrillation_Nielsen	NA
VCM_transition	15.0610967788053	3.25497313207239	0.000162245545422992	0.028	0.107359349516763	Nielsen_AFib	193	Nielsen_AFib	AtrialFibrillation_Nielsen	NA
ACM_left_trabecular_1	21.8327074861737	4.25844675656296	1.84290555119541e-06	0	1.68361188596993	HRC_EUR_AFib	153	HRC_EUR_AFib	AtrialFibrillation_HRC_EUR	ACM
ACM_left_trabecular_2	21.8102370789382	5.23594838004923	5.12072314180789e-05	0.009	1.46751366682378	HRC_EUR_AFib	153	HRC_EUR_AFib	AtrialFibrillation_HRC_EUR	ACM
ACM_left_hybrid	18.3276358355241	4.43277066183314	0.000112497896343755	0.019	-0.960652804334423	HRC_EUR_AFib	153	HRC_EUR_AFib	AtrialFibrillation_HRC_EUR	ACM
ACM_left_compact	20.2107889041355	4.86970980041754	4.30458013506366e-05	0.007	0.702066086316977	HRC_EUR_AFib	153	HRC_EUR_AFib	AtrialFibrillation_HRC_EUR	ACM
ACM_right_compact_3	17.4992694729667	4.605549970742	0.000241132853784726	0.041	-0.561437527599146	HRC_EUR_AFib	153	HRC_EUR_AFib	AtrialFibrillation_HRC_EUR	ACM
VCM_left_trabecular_2	16.6901776030525	3.12880953347207	8.06225682374718e-06	0.001	0.593680859927467	HRC_EUR_AFib	153	HRC_EUR_AFib	AtrialFibrillation_HRC_EUR	VCM
