GEP	Proportion_in_GEP	fine_celltype
ACM_GEP_1	0.148	ACM_cell_cycling
ACM_GEP_2	0.089	ACM_cell_cycling
ACM_GEP_3	0.121	ACM_cell_cycling
ACM_GEP_4	0.113	ACM_cell_cycling
ACM_GEP_5	0.212	ACM_cell_cycling
ACM_GEP_6	0.175	ACM_cell_cycling
ACM_GEP_7	0.149	ACM_cell_cycling
ACM_GEP_9	0.117	ACM_cell_cycling
ACM_GEP_10	0.086	ACM_cell_cycling
ACM_GEP_11	0.148	ACM_cell_cycling
ACM_GEP_12	0.239	ACM_cell_cycling
ACM_GEP_13	0.06	ACM_cell_cycling
ACM_GEP_14	0.202	ACM_cell_cycling
ACM_GEP_15	0.128	ACM_cell_cycling
ACM_GEP_16	0.192	ACM_cell_cycling
ACM_GEP_17	0.962	ACM_cell_cycling
ACM_GEP_18	0.477	ACM_cell_cycling
ACM_GEP_19	1	ACM_cell_cycling
ACM_GEP_20	0.999	ACM_cell_cycling
ACM_GEP_21	0.149	ACM_cell_cycling
ACM_GEP_23	0.483	ACM_cell_cycling
ACM_GEP_24	0.969	ACM_cell_cycling
ACM_GEP_1	0.084	ACM_left_lowTNNI
ACM_GEP_2	0.036	ACM_left_lowTNNI
ACM_GEP_3	0.016	ACM_left_lowTNNI
ACM_GEP_4	0.422	ACM_left_lowTNNI
ACM_GEP_5	0.028	ACM_left_lowTNNI
ACM_GEP_6	0.095	ACM_left_lowTNNI
ACM_GEP_7	0.064	ACM_left_lowTNNI
ACM_GEP_9	0.182	ACM_left_lowTNNI
ACM_GEP_10	0.406	ACM_left_lowTNNI
ACM_GEP_11	0.165	ACM_left_lowTNNI
ACM_GEP_12	0.005	ACM_left_lowTNNI
ACM_GEP_13	0.156	ACM_left_lowTNNI
ACM_GEP_14	0.044	ACM_left_lowTNNI
ACM_GEP_15	0.079	ACM_left_lowTNNI
ACM_GEP_16	0.001	ACM_left_lowTNNI
ACM_GEP_17	0.007	ACM_left_lowTNNI
ACM_GEP_18	0.004	ACM_left_lowTNNI
ACM_GEP_21	0.04	ACM_left_lowTNNI
ACM_GEP_23	0.003	ACM_left_lowTNNI
ACM_GEP_1	0.242	ACM_left_hybrid
ACM_GEP_2	0.019	ACM_left_hybrid
ACM_GEP_3	0.045	ACM_left_hybrid
ACM_GEP_4	0.165	ACM_left_hybrid
ACM_GEP_5	0.041	ACM_left_hybrid
ACM_GEP_6	0.165	ACM_left_hybrid
ACM_GEP_7	0.212	ACM_left_hybrid
ACM_GEP_9	0.296	ACM_left_hybrid
ACM_GEP_10	0.095	ACM_left_hybrid
ACM_GEP_11	0.222	ACM_left_hybrid
ACM_GEP_12	0.083	ACM_left_hybrid
ACM_GEP_13	0.14	ACM_left_hybrid
ACM_GEP_14	0.175	ACM_left_hybrid
ACM_GEP_15	0.107	ACM_left_hybrid
ACM_GEP_16	0.002	ACM_left_hybrid
ACM_GEP_17	0.003	ACM_left_hybrid
