Gene	Trait
ABL1	Atrial_septal_defect
ACTC1	Atrial_septal_defect
ACVR1	Atrial_septal_defect
ACVR2B	Atrial_septal_defect
ANKRD11	Atrial_septal_defect
ARID1A	Atrial_septal_defect
ARID1B	Atrial_septal_defect
B3GAT3	Atrial_septal_defect
BCOR	Atrial_septal_defect
BMPR2	Atrial_septal_defect
BRAF	Atrial_septal_defect
CDK13	Atrial_septal_defect
CHD4	Atrial_septal_defect
CHD7	Atrial_septal_defect
CHST14	Atrial_septal_defect
CITED2	Atrial_septal_defect
CREBBP	Atrial_septal_defect
DNAH11	Atrial_septal_defect
DNAH5	Atrial_septal_defect
EFTUD2	Atrial_septal_defect
ELN	Atrial_septal_defect
EVC	Atrial_septal_defect
EVC2	Atrial_septal_defect
FGFR2	Atrial_septal_defect
FLNA	Atrial_septal_defect
FOXC1	Atrial_septal_defect
FOXP1	Atrial_septal_defect
GATA4	Atrial_septal_defect
GATA5	Atrial_septal_defect
GATA6	Atrial_septal_defect
GLI3	Atrial_septal_defect
GPC3	Atrial_septal_defect
HAAO	Atrial_septal_defect
HDAC8	Atrial_septal_defect
HNRNPK	Atrial_septal_defect
HRAS	Atrial_septal_defect
KANSL1	Atrial_septal_defect
KAT6A	Atrial_septal_defect
KAT6B	Atrial_septal_defect
KDM2B	Atrial_septal_defect
KDM6A	Atrial_septal_defect
KMT2A	Atrial_septal_defect
KMT2D	Atrial_septal_defect
KRAS	Atrial_septal_defect
KYNU	Atrial_septal_defect
LZTR1	Atrial_septal_defect
MAP2K1	Atrial_septal_defect
MAP2K2	Atrial_septal_defect
MED12	Atrial_septal_defect
MEIS2	Atrial_septal_defect
MYBPC3	Atrial_septal_defect
MYH6	Atrial_septal_defect
MYH7	Atrial_septal_defect
NF1	Atrial_septal_defect
NIPBL	Atrial_septal_defect
NKX2-5	Atrial_septal_defect
NODAL	Atrial_septal_defect
NONO	Atrial_septal_defect
NOTCH2	Atrial_septal_defect
NPHP3	Atrial_septal_defect
NR2F2	Atrial_septal_defect
NSD1	Atrial_septal_defect
PBX1	Atrial_septal_defect
PIGV	Atrial_septal_defect
PITX2	Atrial_septal_defect
PTPN11	Atrial_septal_defect
RAB23	Atrial_septal_defect
RAF1	Atrial_septal_defect
RERE	Atrial_septal_defect
RIT1	Atrial_septal_defect
SALL1	Atrial_septal_defect
SETD5	Atrial_septal_defect
SHOC2	Atrial_septal_defect
SMAD2	Atrial_septal_defect
SMAD4	Atrial_septal_defect
SMARCA4	Atrial_septal_defect
SMARCB1	Atrial_septal_defect
SMARCE1	Atrial_septal_defect
SMC1A	Atrial_septal_defect
SMC3	Atrial_septal_defect
SON	Atrial_septal_defect
SOS1	Atrial_septal_defect
STRA6	Atrial_septal_defect
TAB2	Atrial_septal_defect
TBX20	Atrial_septal_defect
TBX5	Atrial_septal_defect
TGFBR1	Atrial_septal_defect
TGFBR2	Atrial_septal_defect
THOC6	Atrial_septal_defect
TLL1	Atrial_septal_defect
TRAF7	Atrial_septal_defect
TXNL4A	Atrial_septal_defect
UBR1	Atrial_septal_defect
WASHC5	Atrial_septal_defect
ZEB2	Atrial_septal_defect
ZIC3	Atrial_septal_defect
ABL1	Ventricular_septal_defect
ACTC1	Ventricular_septal_defect
ACVR2B	Ventricular_septal_defect
ADAMTS10	Ventricular_septal_defect
ANKRD11	Ventricular_septal_defect
ARID1A	Ventricular_septal_defect
CDK13	Ventricular_septal_defect
CHD4	Ventricular_septal_defect
CITED2	Ventricular_septal_defect
DLL4	Ventricular_septal_defect
DNAH5	Ventricular_septal_defect
ESCO2	Ventricular_septal_defect
EVC	Ventricular_septal_defect
EVC2	Ventricular_septal_defect
GATA4	Ventricular_septal_defect
GDF1	Ventricular_septal_defect
GJA1	Ventricular_septal_defect
GLI3	Ventricular_septal_defect
HAND1	Ventricular_septal_defect
HAND2	Ventricular_septal_defect
HDAC8	Ventricular_septal_defect
JAG1	Ventricular_septal_defect
