Celltype	nFrag	scE2G	CardiacCellType
ACM_left_trabecular_1	43264374	TRUE	TRUE
ACM_left_trabecular_2	22769486	TRUE	TRUE
ACM_left_hybrid	30217925	TRUE	TRUE
ACM_left_compact	24369138	TRUE	TRUE
ACM_right_trabecular_1	50833936	TRUE	TRUE
ACM_right_trabecular_2	18628587	TRUE	TRUE
ACM_right_compact_1	28367920	TRUE	TRUE
ACM_right_compact_2	12908596	TRUE	TRUE
ACM_right_compact_3	7584630	TRUE	TRUE
ACM_cellcycle	93559631	TRUE	TRUE
VCM_left_trabecular_1	227743892	TRUE	TRUE
VCM_left_trabecular_2	144276817	TRUE	TRUE
VCM_left_trabecular_3	120407284	TRUE	TRUE
VCM_left_hybrid	342133374	TRUE	TRUE
VCM_left_compact_1	210929468	TRUE	TRUE
VCM_left_compact_2	232034640	TRUE	TRUE
VCM_left_compact_3	216472884	TRUE	TRUE
VCM_right_trabecular	77025062	TRUE	TRUE
VCM_right_compact	277153849	TRUE	TRUE
VCM_AV_valve	7859450	TRUE	TRUE
VCM_cellcycle	489622869	TRUE	TRUE
SAN_head	4851308	TRUE	TRUE
AV_node	11577043	TRUE	TRUE
AV_bundle	4007874	TRUE	TRUE
PF_1	4481707	TRUE	TRUE
PF_2	9112170	TRUE	TRUE
PF_3	8212080	TRUE	TRUE
SAN_Tz	6840518	TRUE	TRUE
AV_Tz	21821166	TRUE	TRUE
AV_bundle_Tz	26258642	TRUE	TRUE
PF_Tz	5003719	TRUE	TRUE
VCM_transition	248681741	TRUE	TRUE
SAN_cellcycle	1157428	FALSE	TRUE
PF_cellcycle	909407	FALSE	TRUE
Endocardial_VentricularEC_1	68605210	TRUE	TRUE
Endocardial_VentricularEC_2	38503449	TRUE	TRUE
Endocardial_VentricularEC_3	60859627	TRUE	TRUE
Endocardial_AtrialEC	19501055	TRUE	TRUE
Endocardial_AtrialSeptumEC_endocardial	6287045	TRUE	TRUE
Endocardial_IFT_VEC	24232006	TRUE	TRUE
Endocardial_to_endothelial	5491716	TRUE	TRUE
Endocardial_OFT_VEC	32853377	TRUE	TRUE
Endocaridal_AorticEC_endothelial	7972253	TRUE	TRUE
Endocardial_cellcycle	20381250	TRUE	TRUE
Endothelial_CapEC_endo	28701175	TRUE	TRUE
Endothelial_CapEC_SV	22230918	TRUE	TRUE
Endothelial_ArtEC_preArtery_2	8218072	TRUE	TRUE
Endothelial_ArtEC_preArtery_1	9561743	TRUE	TRUE
Endothelial_ArtEC_mature	11608339	TRUE	TRUE
Endothelial_AorticEC_endothelial	2430479	FALSE	TRUE
Endothelial_VeinEC	8121080	TRUE	TRUE
Endothelial_LymphaticEC	9201969	TRUE	TRUE
Endothelial_cellcycle_1	18044625	TRUE	TRUE
Endothelial_cellcycle_2	4398616	TRUE	TRUE
Endothelial_LymphaticEC_cellcycle	2197543	FALSE	TRUE
CFB_progenitors	60128283	TRUE	TRUE
CFB_mature	199365767	TRUE	TRUE
CFB_atrium	37308368	TRUE	TRUE
CFB_DMP_1	69679441	TRUE	TRUE
CFB_DMP_2	26713047	TRUE	TRUE
CFB_DMP_3	14731263	TRUE	TRUE
CFB_OFT_1	11886985	TRUE	TRUE
CFB_OFT_2	10735821	TRUE	TRUE
CFB_OFT_3	3268434	TRUE	TRUE
VIC_free_segments_1	20320280	TRUE	TRUE
VIC_free_segments_2	18086733	TRUE	TRUE
VIC_free_segments_3	14487671	TRUE	TRUE
VIC_NC_derived_mescenchyme	14894352	TRUE	TRUE
VIC_valve_roots	9141543	TRUE	TRUE
FB_cellcycle	90749341	TRUE	TRUE
Pericytes_1	40139028	TRUE	TRUE
Pericytes_2	27696983	TRUE	TRUE
Pericytes_3	9059001	TRUE	TRUE
SMC_1	32804855	TRUE	TRUE
SMC_2	5761331	TRUE	TRUE
SMC_3	2348927	FALSE	TRUE
Pericytes_cellcycle	1435252	FALSE	TRUE
SMC_cellcycle	7809536	TRUE	TRUE
Epicardial_0	19210256	TRUE	TRUE
Epicardial_1	4513098	TRUE	TRUE
Epicardial_3	5890712	TRUE	TRUE
Epicardial_4	2183546	FALSE	TRUE
Epicardial_5	2255815	FALSE	TRUE
Epicardial_cellcycle	1909399	FALSE	TRUE
NC_progenitor	17042080	TRUE	TRUE
SympatheticNeuron_nonadrenergic	4975016	TRUE	TRUE
SympatheticNeuron	14893780	TRUE	TRUE
Immune_T_cell_1	14520962	TRUE	FALSE
Immune_T_cell_2	8692346	TRUE	FALSE
Immune_T_cell_3	4548391	TRUE	FALSE
Immune_T_cell_4	2542383	FALSE	FALSE
Immune_NK_cell	3955625	TRUE	FALSE
Immune_B_cell	3243008	TRUE	FALSE
Immune_T_cell_cellcycle_2	12978043	TRUE	FALSE
Immune_T_cell_cellcycle_1	26125464	TRUE	FALSE
Immune_monocyte_1	33053821	TRUE	TRUE
Immune_monocyte_2	6730029	TRUE	TRUE
Macrophage	4545714	TRUE	TRUE
Immune_monocyte_cellcycle	3417212	TRUE	FALSE
Immune_mast_cell	3670556	TRUE	FALSE
SchwannCells_precursors	15973841	FALSE	FALSE
SchwannCells_premyelinating_1	9121080	FALSE	FALSE
SchwannCells_premyelinating_2	7542585	FALSE	FALSE
SchwannCells_premyelinating_3	5916101	FALSE	FALSE
CNC_PAA	40940800	FALSE	FALSE
Endothelial_LiverSinusoidalEC	626425	FALSE	FALSE
Endothelial_VeinEC_pulmonary	2191815	FALSE	FALSE
