Gene	Trait	n_genes	category
ABL1	Atrial_septal_defect	96	CHD
ACTC1	Atrial_septal_defect	96	CHD
ACVR1	Atrial_septal_defect	96	CHD
ACVR2B	Atrial_septal_defect	96	CHD
ANKRD11	Atrial_septal_defect	96	CHD
ARID1A	Atrial_septal_defect	96	CHD
ARID1B	Atrial_septal_defect	96	CHD
B3GAT3	Atrial_septal_defect	96	CHD
BCOR	Atrial_septal_defect	96	CHD
BMPR2	Atrial_septal_defect	96	CHD
BRAF	Atrial_septal_defect	96	CHD
CDK13	Atrial_septal_defect	96	CHD
CHD4	Atrial_septal_defect	96	CHD
CHD7	Atrial_septal_defect	96	CHD
CHST14	Atrial_septal_defect	96	CHD
CITED2	Atrial_septal_defect	96	CHD
CREBBP	Atrial_septal_defect	96	CHD
DNAH11	Atrial_septal_defect	96	CHD
DNAH5	Atrial_septal_defect	96	CHD
EFTUD2	Atrial_septal_defect	96	CHD
ELN	Atrial_septal_defect	96	CHD
EVC	Atrial_septal_defect	96	CHD
EVC2	Atrial_septal_defect	96	CHD
FGFR2	Atrial_septal_defect	96	CHD
FLNA	Atrial_septal_defect	96	CHD
FOXC1	Atrial_septal_defect	96	CHD
FOXP1	Atrial_septal_defect	96	CHD
GATA4	Atrial_septal_defect	96	CHD
GATA5	Atrial_septal_defect	96	CHD
GATA6	Atrial_septal_defect	96	CHD
GLI3	Atrial_septal_defect	96	CHD
GPC3	Atrial_septal_defect	96	CHD
HAAO	Atrial_septal_defect	96	CHD
HDAC8	Atrial_septal_defect	96	CHD
HNRNPK	Atrial_septal_defect	96	CHD
HRAS	Atrial_septal_defect	96	CHD
KANSL1	Atrial_septal_defect	96	CHD
KAT6A	Atrial_septal_defect	96	CHD
KAT6B	Atrial_septal_defect	96	CHD
KDM2B	Atrial_septal_defect	96	CHD
KDM6A	Atrial_septal_defect	96	CHD
KMT2A	Atrial_septal_defect	96	CHD
KMT2D	Atrial_septal_defect	96	CHD
KRAS	Atrial_septal_defect	96	CHD
KYNU	Atrial_septal_defect	96	CHD
