orig.ident	experiment
FT014020_1	FT014020
FT014020_2	FT014020
FT014020_3	FT014020
FT014020_4	FT014020
FT015016017018	FT015016017018
FT026	FT026
FT015029_1	FT015029
FT015029_2	FT015029
FT015029_3	FT015029
FT015029_4	FT015029
FT015029_5	FT015029
FT015029_6	FT015029
FT027_1	FT027
FT027_2	FT027
FT020	FT020
FT005	FT005
FT025	FT025
FT014FT020_20230602_1	FT014FT020_20230602
FT014FT020_20230602_2	FT014FT020_20230602
FT014FT020_20230602_3	FT014FT020_20230602
FT014FT020_20230602_4	FT014FT020_20230602
FT021_5	FT021_5
FT021FT027_1	FT021FT027
FT021FT027_2	FT021FT027
FT021FT027_3	FT021FT027
FT021FT027_4	FT021FT027
FT021FT027_5	FT021FT027
FT021FT027_6	FT021FT027
FT021FT027_7	FT021FT027
FT021FT027_8	FT021FT027
FT033_FT047_4	FT033_FT047
FT033_FT047_5	FT033_FT047
FT033_FT047_6	FT033_FT047
FT035_FT061_1	FT035_FT061
FT035_FT061_2	FT035_FT061
FT035_FT061_3	FT035_FT061
FT035_FT061_4	FT035_FT061
FT038_FT041_2	FT038_FT041_FT072
FT038_FT041_3	FT038_FT041_FT072
FT038_FT072_4	FT038_FT041_FT072
FT038_FT072_5	FT038_FT041_FT072
FT038_FT072_6	FT038_FT041_FT072
FT039	FT039
FT040_FT044_4	FT040_FT044_FT062
FT040_FT062_1	FT040_FT044_FT062
FT040_FT062_3	FT040_FT044_FT062
FT041_FT072_7	FT038_FT041_FT072
FT041_FT072_8	FT038_FT041_FT072
FT051_FT056_FT066_1	FT051_FT056_FT066
FT051_FT056_FT066_3	FT051_FT056_FT066
FT051_FT056_FT066_4	FT051_FT056_FT066
FT051_FT056_FT066_5	FT051_FT056_FT066
FT055_FT069_FT035_1	FT055_FT069_FT035
FT055_FT069_FT035_2	FT055_FT069_FT035
FT055_FT069_FT035_3	FT055_FT069_FT035
FT055_FT069_FT035_4	FT055_FT069_FT035
FT055_FT069_FT035_5	FT055_FT069_FT035
FT055_FT069_FT035_6	FT055_FT069_FT035
FT057_FT064_1	FT057_FT064
FT057_FT064_2	FT057_FT064
FT057_FT064_3	FT057_FT064
FT057_FT064_5	FT057_FT064
FT057_FT064_6	FT057_FT064
FT057_FT064_7	FT057_FT064
FT057_FT064_8	FT057_FT064
FT060_FT067_1	FT060_FT067
FT060_FT067_2	FT060_FT067
FT060_FT067_3	FT060_FT067
FT060_FT067_4	FT060_FT067
FT065_FT034_4	FT034_FT065_FT071
FT065_FT034_5	FT034_FT065_FT071
FT065_FT034_6	FT034_FT065_FT071
FT065_FT071_1	FT034_FT065_FT071
FT065_FT071_2	FT034_FT065_FT071
FT065_FT071_3	FT034_FT065_FT071
FT071_FT034_7	FT034_FT065_FT071
FT071_FT034_8	FT034_FT065_FT071
FT071_FT034_9	FT034_FT065_FT071
FT030_1	FT030
FT030_2	FT030
FT030_3	FT030
FT033_FT047_1	FT033_FT047
FT033_FT047_2	FT033_FT047
FT033_FT047_3	FT033_FT047
FT040_FT044_5	FT040_FT044_FT062
FT040_FT044_6	FT040_FT044_FT062
FT040_FT062_2	FT040_FT044_FT062
FT043_FT058_1	FT043_FT058_FT070
FT043_FT058_2	FT043_FT058_FT070
FT043_FT070_3	FT043_FT058_FT070
FT043_FT070_4	FT043_FT058_FT070
FT052_FT053_1	FT052_FT053_FT054
FT052_FT053_2	FT052_FT053_FT054
FT052_FT054_3	FT052_FT053_FT054
FT052_FT054_4	FT052_FT053_FT054
FT053_FT054_5	FT052_FT053_FT054
FT053_FT054_6	FT052_FT053_FT054
FT058_FT070_5	FT043_FT058_FT070
FT058_FT070_6	FT043_FT058_FT070
FT062_FT044_7	FT040_FT044_FT062
FT062_FT044_8	FT040_FT044_FT062
FT062_FT044_9	FT040_FT044_FT062
FT074_1	FT074
FT074_2	FT074
FT074_3	FT074
FT021_SVD_30K	FT021_SVD
FT021_SVD_50K	FT021_SVD
FT021_SVD_75K	FT021_SVD
FT016_v3_1	FT016_v3
FT016_v3_2	FT016_v3
FT020_v3_1	FT020_v3
FT020_v3_2	FT020_v3
FT027_v3_3	FT027_v3
FT027_v3_4	FT027_v3
