Gene	Trait	Category
ABL1	Atrial_septal_defect	CHD
ACTC1	Atrial_septal_defect	CHD
ACVR1	Atrial_septal_defect	CHD
ACVR2B	Atrial_septal_defect	CHD
ANKRD11	Atrial_septal_defect	CHD
ARID1A	Atrial_septal_defect	CHD
ARID1B	Atrial_septal_defect	CHD
B3GAT3	Atrial_septal_defect	CHD
BCOR	Atrial_septal_defect	CHD
BMPR2	Atrial_septal_defect	CHD
BRAF	Atrial_septal_defect	CHD
CDK13	Atrial_septal_defect	CHD
CHD4	Atrial_septal_defect	CHD
CHD7	Atrial_septal_defect	CHD
CHST14	Atrial_septal_defect	CHD
CITED2	Atrial_septal_defect	CHD
CREBBP	Atrial_septal_defect	CHD
DNAH11	Atrial_septal_defect	CHD
DNAH5	Atrial_septal_defect	CHD
EFTUD2	Atrial_septal_defect	CHD
ELN	Atrial_septal_defect	CHD
EVC	Atrial_septal_defect	CHD
EVC2	Atrial_septal_defect	CHD
FGFR2	Atrial_septal_defect	CHD
FLNA	Atrial_septal_defect	CHD
FOXC1	Atrial_septal_defect	CHD
FOXP1	Atrial_septal_defect	CHD
GATA4	Atrial_septal_defect	CHD
GATA5	Atrial_septal_defect	CHD
GATA6	Atrial_septal_defect	CHD
GLI3	Atrial_septal_defect	CHD
GPC3	Atrial_septal_defect	CHD
HAAO	Atrial_septal_defect	CHD
HDAC8	Atrial_septal_defect	CHD
HNRNPK	Atrial_septal_defect	CHD
HRAS	Atrial_septal_defect	CHD
KANSL1	Atrial_septal_defect	CHD
KAT6A	Atrial_septal_defect	CHD
KAT6B	Atrial_septal_defect	CHD
KDM2B	Atrial_septal_defect	CHD
KDM6A	Atrial_septal_defect	CHD
KMT2A	Atrial_septal_defect	CHD
KMT2D	Atrial_septal_defect	CHD
KRAS	Atrial_septal_defect	CHD
KYNU	Atrial_septal_defect	CHD
LZTR1	Atrial_septal_defect	CHD
MAP2K1	Atrial_septal_defect	CHD
MAP2K2	Atrial_septal_defect	CHD
MED12	Atrial_septal_defect	CHD
MEIS2	Atrial_septal_defect	CHD
MYBPC3	Atrial_septal_defect	CHD
MYH6	Atrial_septal_defect	CHD
MYH7	Atrial_septal_defect	CHD
NF1	Atrial_septal_defect	CHD
NIPBL	Atrial_septal_defect	CHD
NKX2-5	Atrial_septal_defect	CHD
NODAL	Atrial_septal_defect	CHD
NONO	Atrial_septal_defect	CHD
NOTCH2	Atrial_septal_defect	CHD
NPHP3	Atrial_septal_defect	CHD
NR2F2	Atrial_septal_defect	CHD
NSD1	Atrial_septal_defect	CHD
PBX1	Atrial_septal_defect	CHD
PIGV	Atrial_septal_defect	CHD
PITX2	Atrial_septal_defect	CHD
PTPN11	Atrial_septal_defect	CHD
RAB23	Atrial_septal_defect	CHD
RAF1	Atrial_septal_defect	CHD
RERE	Atrial_septal_defect	CHD
RIT1	Atrial_septal_defect	CHD
SALL1	Atrial_septal_defect	CHD
SETD5	Atrial_septal_defect	CHD
SHOC2	Atrial_septal_defect	CHD
SMAD2	Atrial_septal_defect	CHD
SMAD4	Atrial_septal_defect	CHD
SMARCA4	Atrial_septal_defect	CHD
SMARCB1	Atrial_septal_defect	CHD
SMARCE1	Atrial_septal_defect	CHD
SMC1A	Atrial_septal_defect	CHD
SMC3	Atrial_septal_defect	CHD
SON	Atrial_septal_defect	CHD
SOS1	Atrial_septal_defect	CHD
STRA6	Atrial_septal_defect	CHD
TAB2	Atrial_septal_defect	CHD
TBX20	Atrial_septal_defect	CHD
TBX5	Atrial_septal_defect	CHD
TGFBR1	Atrial_septal_defect	CHD
TGFBR2	Atrial_septal_defect	CHD
THOC6	Atrial_septal_defect	CHD
TLL1	Atrial_septal_defect	CHD
TRAF7	Atrial_septal_defect	CHD
TXNL4A	Atrial_septal_defect	CHD
UBR1	Atrial_septal_defect	CHD
WASHC5	Atrial_septal_defect	CHD
ZEB2	Atrial_septal_defect	CHD
ZIC3	Atrial_septal_defect	CHD
ABL1	Ventricular_septal_defect	CHD
ACTC1	Ventricular_septal_defect	CHD
ACVR2B	Ventricular_septal_defect	CHD
ADAMTS10	Ventricular_septal_defect	CHD
ANKRD11	Ventricular_septal_defect	CHD
ARID1A	Ventricular_septal_defect	CHD
CDK13	Ventricular_septal_defect	CHD
CHD4	Ventricular_septal_defect	CHD
CITED2	Ventricular_septal_defect	CHD
DLL4	Ventricular_septal_defect	CHD
DNAH5	Ventricular_septal_defect	CHD
ESCO2	Ventricular_septal_defect	CHD
EVC	Ventricular_septal_defect	CHD
EVC2	Ventricular_septal_defect	CHD
GATA4	Ventricular_septal_defect	CHD
GDF1	Ventricular_septal_defect	CHD
GJA1	Ventricular_septal_defect	CHD
GLI3	Ventricular_septal_defect	CHD
HAND1	Ventricular_septal_defect	CHD
HAND2	Ventricular_septal_defect	CHD
HDAC8	Ventricular_septal_defect	CHD
JAG1	Ventricular_septal_defect	CHD
KDM2B	Ventricular_septal_defect	CHD
KDM6A	Ventricular_septal_defect	CHD
KRAS	Ventricular_septal_defect	CHD
MEIS2	Ventricular_septal_defect	CHD
MESP1	Ventricular_septal_defect	CHD
NF1	Ventricular_septal_defect	CHD
NIPBL	Ventricular_septal_defect	CHD
NKX2-5	Ventricular_septal_defect	CHD
NKX2-6	Ventricular_septal_defect	CHD
PIGL	Ventricular_septal_defect	CHD
PITX2	Ventricular_septal_defect	CHD
PKD1L1	Ventricular_septal_defect	CHD
SALL1	Ventricular_septal_defect	CHD
SHOC2	Ventricular_septal_defect	CHD
SMARCB1	Ventricular_septal_defect	CHD
SMC1A	Ventricular_septal_defect	CHD
SOS1	Ventricular_septal_defect	CHD
TBX1	Ventricular_septal_defect	CHD
TBX5	Ventricular_septal_defect	CHD
TMEM260	Ventricular_septal_defect	CHD
ACVR2B	Valve_defects	CHD
ADAMTS10	Valve_defects	CHD
ANKRD11	Valve_defects	CHD
ARID1A	Valve_defects	CHD
B3GAT3	Valve_defects	CHD
BCOR	Valve_defects	CHD
BRAF	Valve_defects	CHD
CDK13	Valve_defects	CHD
CREBBP	Valve_defects	CHD
DLL4	Valve_defects	CHD
DNAH11	Valve_defects	CHD
EHMT1	Valve_defects	CHD
ELN	Valve_defects	CHD
ESCO2	Valve_defects	CHD
EVC	Valve_defects	CHD
EVC2	Valve_defects	CHD
FBN1	Valve_defects	CHD
FGFR2	Valve_defects	CHD
FOXP1	Valve_defects	CHD
GATA4	Valve_defects	CHD
GATA5	Valve_defects	CHD
GATA6	Valve_defects	CHD
GDF1	Valve_defects	CHD
GJA1	Valve_defects	CHD
GLI3	Valve_defects	CHD
GPC3	Valve_defects	CHD
HAAO	Valve_defects	CHD
