chr	start	end	position	LocusID	LeadVariant_P_value	variant	variant_P_value	LeadSNP_PosteriorProb	PosteriorProb	CredibleSet	Trait	Coding	CodingVariantGene	SpliceSite	SpliceSiteVariantGene	Promoter	PromoterVariantGene	Source
chr6	36679512	36679512	36679512	rs3176326	1.3e-13	rs3176326	1.3e-13	0.978516006681608	0.978516006681608	invnorm_lvef-rs3176326	invnorm_lvef	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	110784367	110784367	110784367	rs189569984	3.2e-10	rs189569984	3.2e-10	0.95887447913337	0.95887447913337	invnorm_lvef-rs189569984	invnorm_lvef	TRUE	RBM20	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	119665303	119665303	119665303	rs375034445	4.3e-31	rs375034445	4.3e-31	0.9999266002435	0.9999266002435	invnorm_lvef-rs375034445	invnorm_lvef	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr22	23819530	23819530	23819530	rs5760054	2.8e-16	rs5760054	2.8e-16	0.960073899472546	0.960073899472546	invnorm_lvef-rs5760054	invnorm_lvef	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr6	36678991	36678991	36678991	rs146170154	5.1e-13	rs146170154	5.1e-13	0.950743681699503	0.950743681699503	invnorm_lvef-rs146170154	invnorm_lvef	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	119663324	119663324	119663324	rs61869036	5.7e-31	rs61869036	5.7e-31	0.99992239911258	0.99992239911258	invnorm_lvef-rs61869036	invnorm_lvef	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr22	23817120	23817120	23817120	rs2070458	3e-16	rs2070458	3e-16	0.957772317854388	0.957772317854388	invnorm_lvef-rs2070458	invnorm_lvef	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr8	124847575	124847575	124847575	rs35006907	5.6e-22	rs35006907	5.6e-22	0.99747408364942	0.99747408364942	invnorm_lvef-rs35006907	invnorm_lvef	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr8	124849132	124849132	124849132	rs7461129	1.3e-21	rs7461129	1.3e-21	0.99600832672486	0.99600832672486	invnorm_lvef-rs7461129	invnorm_lvef	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	119670121	119670121	119670121	rs2234962	1.8e-30	rs2234962	1.8e-30	0.999879147799263	0.999879147799263	invnorm_lvef-rs2234962	invnorm_lvef	TRUE	BAG3	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr22	23824601	23824601	23824601	rs9608201	3.4e-16	rs9608201	3.4e-16	0.956117908487841	0.956117908487841	invnorm_lvef-rs9608201	invnorm_lvef	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr8	124839268	124839268	124839268	rs7003871	1.9e-20	rs7003871	1.9e-20	0.978608791486211	0.978608791486211	invnorm_lvef-rs7003871	invnorm_lvef	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	119674163	119674163	119674163	rs72842207	9.7e-31	rs72842207	9.7e-31	0.99990128349777	0.99990128349777	invnorm_lvef-rs72842207	invnorm_lvef	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	119656173	119656173	119656173	rs72840788	7e-31	rs72840788	7e-31	0.99991855260389	0.99991855260389	invnorm_lvef-rs72840788	invnorm_lvef	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	1402871	1402871	1402871	rs183611760	2.8e-08	rs183611760	2.8e-08	0.930364754523518	0.930364754523518	invnorm_lvef-rs183611760	invnorm_lvef	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr14	23395595	23395595	23395595	rs422068	2.1e-09	rs422068	2.1e-09	0.927434126862443	0.927434126862443	invnorm_lv_sv-rs422068	invnorm_lv_sv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr14	23395595	23395595	23395595	rs452036	2.4e-09	rs422068	2.1e-09	0.918681686953408	0.927434126862443	invnorm_lv_sv-rs452036	invnorm_lv_sv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr14	23396676	23396676	23396676	rs422068	2.1e-09	rs452036	2.4e-09	0.927434126862443	0.918681686953408	invnorm_lv_sv-rs422068	invnorm_lv_sv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr14	23396676	23396676	23396676	rs452036	2.4e-09	rs452036	2.4e-09	0.918681686953408	0.918681686953408	invnorm_lv_sv-rs452036	invnorm_lv_sv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr7	150993088	150993088	150993088	rs3918226	3e-09	rs3918226	3e-09	0.941510224495314	0.941510224495314	invnorm_lv_sv-rs3918226	invnorm_lv_sv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	94359373	94359373	94359373	rs71482305	7.1e-21	rs71482305	7.1e-21	0.979531401651758	0.979531401651758	invnorm_max_aa_diam-rs71482305	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr10	94360189	94360189	94360189	rs12773803	1.6e-20	rs12773803	1.6e-20	0.948607471562506	0.948607471562506	invnorm_max_aa_diam-rs12773803	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr11	70159268	70159268	70159268	rs875107	5.1e-15	rs875107	5.1e-15	0.906859745202303	0.906859745202303	invnorm_max_aa_diam-rs875107	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
